,log2FC
3540,4.799153901887492
28915,4.792010541240209
28453,4.6915185287944245
28936,4.5974252169767995
28941,4.576735181731953
5473,4.573975691193025
28299,4.5640421421505994
28926,4.518305050021722
1667,4.496522779847499
28874,4.489858430721868
3040,4.46237783099739
3039,4.413173898278245
28391,4.403449615530582
28882,4.373775578650623
28875,4.366162686166565
28797,4.3604618193676545
728358,4.323644457032457
28913,4.295066096950345
28473,4.294712155331294
3045,4.291727762413713
1668,4.2435444887395555
57289,4.226839268584053
28813,4.20185436095446
6352,4.168698916015643
28393,4.1030255820265555
28793,4.092082207537561
2938,4.0785504008853355
28822,4.058860477708802
28933,4.041498325431148
28457,4.031997236191122
28831,4.009878075066341
3116,3.982541658963891
28467,3.978648472348781
3043,3.9626361553909266
28400,3.9624609024162734
6374,3.96152415678957
28776,3.9267708710619815
28912,3.9143997545129814
28483,3.9045158197225804
28812,3.898103664381571
28454,3.8485299273071494
28804,3.8364597877048086
28896,3.820321293393265
28401,3.813475861352324
28816,3.809787597413683
2939,3.8035509614165086
2944,3.7998470714954236
28373,3.790002431656018
28388,3.7858040553923047
3049,3.7632506707587536
28878,3.7469920933194656
3003,3.74006248785275
28468,3.7206827780819367
28394,3.665054017479463
28825,3.657298315240677
28815,3.631350683632391
28424,3.6297581662578056
28778,3.6259438025283073
28901,3.6136083457536277
6521,3.6110694474628593
28937,3.576569988938144
28921,3.5715485387560175
28392,3.5536387992116776
28817,3.5395577193866927
3580,3.539081767174219
28450,3.5341966123342843
28402,3.5250044174885007
3507,3.513171683210013
28466,3.508848507518013
28942,3.4865538112637866
28824,3.476966211919352
28943,3.470594443963515
3539,3.4495394405177606
28883,3.4417825146265564
3127,3.439508580074037
28884,3.4251023324000847
2215,3.415022216138178
28876,3.4022473458257503
28434,3.400492038947558
28906,3.396921533550493
2358,3.391660999925561
3541,3.3909749713475357
28893,3.3867444525582204
28810,3.385251846468977
5196,3.382197929255345
28791,3.3811801270872244
26253,3.3801590143827407
102723168,3.377518355182667
3538,3.3771776455779
4818,3.3599320080951176
8875,3.3574861862478462
28832,3.3573670085575564
2204,3.3566655682614144
3047,3.3521284058619765
28784,3.3461409661658665
1178,3.337092065585373
6317,3.327505014067688
28814,3.3210953707004034
653361,3.3148933101927707
3048,3.310356626025964
64407,3.29541721220249
3577,3.2945288007841937
28930,3.289761959053438
