Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Epidermis Development (GO:0008544),-0.6679790778964516,-2.680197005941455,1.000000e-03,1.000000e-03,1.000000e-03,32/82,7.14%,S100A7;SCEL;CALML5;HOXB13;SPRR1B;CASP14;KRT14;OVOL1;SPRR2E;POU2F3;SPRR2B;SPRR2D;SPRR2G;SPRR1A;CERS3;KRT32;SPINK5;LAMC2;GRHL3;SPRR3;EVPL;GRHL1;DSP;ZNF750;SPRR2F;KRTAP5-9;LAMA3;FLG2;LAMB3;KLK7;TGM5;KRT34
prerank,Antigen Receptor-Mediated Signaling Pathway (GO:0050851),0.7431923121236123,2.538360433189957,1.000000e-03,1.000000e-03,1.000000e-03,77/129,16.49%,IGHM;IGHA2;SLA2;IGHA1;CD247;PRKCB;CD28;IGLC3;CD8A;IGHG3;LCP2;CD79A;IGHG2;CD3G;PTPRC;CD8B;IGKC;CD3E;ITK;NFAM1;IGHG4;CD3D;HLA-DRB1;BTK;HLA-DPA1;IGLC7;ZAP70;TRBC1;CD38;THEMIS2;PTPN22;IGHG1;MNDA;TRBC2;PRAM1;NFATC2;NFKBID;LAX1;PDE4B;THEMIS;LCK;PIK3CD;IGLC1;INPP5D;CD79B;NCKAP1L;LAT2;TXK;IGHE;BMX;ICOSLG;FYN;HLA-A;FYB1;MS4A1;BTNL8;LOC102723996;PTPRJ;TRGC1;VAV3;GNAO1;TRDC;SYK;BTN3A1;SH2B2;MOG;CD19;THY1;BLK;ERMAP;CTLA4;BTN2A2;BTN3A2;RFTN1;BTNL3;BTN3A3;MEF2C
prerank,Inflammatory Response (GO:0006954),0.7142892077050984,2.525623772506202,1.000000e-03,1.000000e-03,1.000000e-03,117/212,14.75%,PPBP;PF4V1;PF4;ODAM;PROK2;AZU1;CXCL5;CCL13;CCL5;CCL23;FOLR2;MEFV;NLRP3;FCGR2B;CXCR2;FPR2;SLC11A1;PLA2G2D;FPR1;ITGB2;CXCL8;CCL8;CD14;HP;CCL3;CCL18;ADAM8;TMIGD3;C5AR1;CXCL3;ADORA3;CCL15;CXCL9;CXCR4;CCL4;CCR5;CXCL13;C3AR1;IL1RL1;THBS1;CCR1;C5AR2;CCL7;CCL14;CD40LG;CCL11;NFAM1;CSF1R;ORM1;ITGAL;CD96;IFNG;VCAM1;TLR2;CEBPB;CCL26;CMKLR1;NRROS;VNN1;IL2RA;TLR4;LYZ;IL1B;CCL2;CYBB;SIGLEC1;NLRC4;FPR3;CCL19;TNF;TGFB1;ACKR1;AIF1;PIK3CG;PIK3CD;FOS;CCL24;OLR1;CCRL2;CXCL10;HPR;PTGER4;CYBA;ADGRE5;CRHBP;TLR1;KLRG1;CIITA;ALOX15;CCR7;BMP2;CCR2;FUT7;RELB;CXCL2;NCR3;SERPINA3;SELE;PTGER2;IL6;IRAK2;LGALS9;ADM;CCL21;XCR1;TNFAIP6;CXCL11;NFKB2;CD40;TLR6;F2R;CHI3L1;TNFSF4;NLRP6;TBXA2R;PLA2G4C;ADORA2A
prerank,Epidermal Cell Differentiation (GO:0009913),-0.6843394219837543,-2.489992469953473,1.000000e-03,1.000000e-03,1.000000e-03,18/54,3.70%,S100A7;SCEL;SPRR1B;IVL;OVOL1;KRT16;POU2F3;SPRR2B;SPRR2G;SPRR1A;CERS3;SPINK5;SPRR3;CSTA;EVPL;DSP;WNT16;SPRR2F
prerank,Regulation Of Tumor Necrosis Factor Production (GO:0032680),0.7221727250571575,2.4443864492670584,1.000000e-03,1.000000e-03,1.000000e-03,59/120,13.20%,PF4;AZU1;BPI;MMP8;FCGR3A;CD14;CCL3;PTPRC;CD33;LILRA4;THBS1;C5AR2;HAVCR2;NOD2;CD2;ORM1;IFNG;LTF;LCP1;TLR2;PTPN22;SPN;TYROBP;ORM2;VSIR;TLR4;SLAMF1;HLA-E;CD84;CCL19;CLEC7A;CLEC4A;LILRB4;ZFP36;TNFRSF8;IRAK3;LILRA2;CYBA;CLU;TLR1;LY96;NLRC3;LILRB1;PTPN6;SIRPA;IL33;CCR2;PTPRJ;IL10;IL6;TLR9;LGALS9;TMEM106A;GHSR;IFNGR1;SYK;IL12B;RASGRP1;SYT11
prerank,Neutrophil Chemotaxis (GO:0030593),0.7950984887407727,2.4432221181670233,1.000000e-03,1.000000e-03,1.000000e-03,35/62,7.26%,PPBP;PF4V1;PF4;CXCL5;CCL13;CCL5;CXCR1;CCL23;CXCR2;JAML;ITGB2;CXCL8;CCL8;CCL3;CCL18;CXCL3;CCL15;CXCL9;S100A12;CCL4;CXCL13;CCL7;CCL14;CCL11;FCER1G;CCL26;TREM1;CCL2;CCL19;PDE4B;PIK3CG;PIK3CD;CCL24;NCKAP1L;CXCL10
prerank,Granulocyte Chemotaxis (GO:0071621),0.7885021763595536,2.430473450502423,1.000000e-03,1.000000e-03,1.000000e-03,35/65,7.26%,PPBP;PF4V1;PF4;CXCL5;CCL13;CCL5;CXCR1;CCL23;CXCR2;JAML;ITGB2;CXCL8;CCL8;CCL3;CCL18;CXCL3;CCL15;CXCL9;S100A12;CCL4;CXCL13;CCL7;CCL14;CCL11;FCER1G;CCL26;TREM1;CCL2;CCL19;PDE4B;PIK3CG;PIK3CD;CCL24;NCKAP1L;CXCL10
prerank,Neutrophil Migration (GO:1990266),0.777755948262684,2.427783247260913,1.000000e-03,1.000000e-03,1.000000e-03,43/68,12.71%,PPBP;PF4V1;PF4;PRTN3;CXCL5;CCL13;CCL5;CXCR1;CCL23;CXCR2;JAML;ITGB2;CXCL8;CCL8;CCL3;CCL18;CXCL3;CCL15;CXCL9;S100A12;CCL4;CXCL13;CCL7;CCL14;CCL11;FCER1G;CCL26;TREM1;CCL2;CCL19;PDE4B;PIK3CG;PIK3CD;CCL24;NCKAP1L;CXCL10;CXCL2;PECAM1;CCL21;CD177;SYK;SAA1;CXCL11
prerank,Cellular Response To Lipopolysaccharide (GO:0071222),0.7175919264329363,2.4045609845909635,1.000000e-03,1.000000e-03,1.000000e-03,67/117,17.19%,DEFA3;DEFA1;PPBP;PF4V1;PF4;BPI;CXCL5;DEFA4;CCL5;CTSG;NLRP3;ANKRD1;TNFRSF1B;CXCL8;CD14;CCL3;LILRB2;CXCL3;CXCL9;CCR5;CXCL13;NOD2;CD68;CD180;HCK;PDCD1LG2;PTPN22;SERPINE1;CD86;TLR4;IL1B;CARD16;CD6;CCL2;TNF;PDE4B;TGFB1;GFI1;ZFP36;CXCL10;VIM;LY96;CASP1;LILRB1;SIRPA;IL10;CXCL2;GBP2;CARD17P;IL6;MYD88;LYN;TNIP3;SBNO2;CD80;CXCL11;NR1H3;TNFSF4;HMGB2;XBP1;PYCARD;CD274;CXCL1;MEF2C;TNFAIP3;RHOA;PLCG2
prerank,Positive Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903557),0.7427166111222716,2.4011554916926365,1.000000e-03,1.000000e-03,1.000000e-03,41/79,12.76%,PF4;AZU1;MMP8;FCGR3A;CD14;CCL3;PTPRC;THBS1;HAVCR2;NOD2;CD2;ORM1;IFNG;LCP1;TLR2;SPN;TYROBP;CD86;ORM2;TLR4;HLA-E;CD84;CCL19;CLEC7A;TNFRSF8;LILRA2;CYBA;CLU;TLR1;LY96;IL33;CCR2;PTPRJ;IL6;TLR9;LGALS9;TMEM106A;IFNGR1;SYK;IL12B;RASGRP1
prerank,B Cell Receptor Signaling Pathway (GO:0050853),0.8041713783491992,2.3936584614470937,1.000000e-03,1.000000e-03,1.000000e-03,37/45,17.19%,IGHM;IGHA2;IGHA1;PRKCB;IGLC3;IGHG3;CD79A;IGHG2;PTPRC;IGKC;ITK;NFAM1;IGHG4;BTK;IGLC7;CD38;IGHG1;MNDA;NFATC2;LCK;PIK3CD;IGLC1;CD79B;NCKAP1L;LAT2;IGHE;BMX;MS4A1;VAV3;SYK;SH2B2;CD19;BLK;CTLA4;RFTN1;MEF2C;PLCG2
prerank,Positive Regulation Of Tumor Necrosis Factor Production (GO:0032760),0.7441310893016362,2.3913139007881044,1.000000e-03,1.000000e-03,1.000000e-03,40/76,12.76%,PF4;AZU1;MMP8;FCGR3A;CD14;CCL3;PTPRC;THBS1;HAVCR2;NOD2;CD2;ORM1;IFNG;LCP1;TLR2;SPN;TYROBP;ORM2;TLR4;HLA-E;CD84;CCL19;CLEC7A;TNFRSF8;LILRA2;CYBA;CLU;TLR1;LY96;IL33;CCR2;PTPRJ;IL6;TLR9;LGALS9;TMEM106A;IFNGR1;SYK;IL12B;RASGRP1
prerank,Regulation Of Interleukin-6 Production (GO:0032675),0.711928620252626,2.378062122962876,1.000000e-03,1.000000e-03,1.000000e-03,68/105,18.27%,BPI;MMP8;NLRP12;LILRB2;TLR8;C5AR2;NOD2;ORM1;IFNG;LCP1;TLR2;PTPN22;TYROBP;TLR4;TLR7;SLAMF1;IL1B;CD74;CD84;CLEC7A;TNF;HLA-B;LEP;SCIMP;AIF1;SIGLEC16;LILRB4;IRAK3;NCKAP1L;LILRA2;POU2AF1;POU2F2;CYBA;CD200R1;TREM2;TLR1;IL17RA;IL16;NLRC3;FOXJ1;PTPN6;SIRPA;IL33;IL10;IL6R;IL6;TLR9;LGALS9;MYD88;EREG;TMEM106A;GHSR;ARRB1;TSLP;SYK;SYT11;TLR6;F2R;TNFSF4;XBP1;PYCARD;TNFAIP3;GAS6;NOS2;CD200;PLCG2;ELF4;CX3CL1
prerank,Negative Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0045841),-0.7537343545874667,-2.359048099584073,1.000000e-03,1.000000e-03,1.000000e-03,15/28,11.02%,TRIP13;TTK;NUF2;CENPF;BUB1B;MAD2L1;BUB1;PLK1;ZWINT;NDC80;USP44;CDC20;SPC25;KNTC1;ZWILCH
