GeneID,GSM3589673,GSM3589674,GSM3589675,GSM3589676,GSM3589677,GSM3589678,GSM3589679,GSM3589680,GSM3589681,GSM3589682,GSM3589683,GSM3589684,GSM3589685,GSM3589686,GSM3589687,GSM3589688
100287102,102,33,88,22,31,25,19,62,132,88,19,48,53,61,17,25
653635,5138,2669,4155,2070,2740,2033,1925,3379,1091,2603,1428,3175,2818,5589,1665,2455
102466751,63,30,36,16,32,23,16,31,12,19,9,28,25,36,16,22
107985730,0,0,0,0,2,0,0,0,2,1,0,1,0,0,1,0
100302278,3,2,2,1,4,1,0,2,18,12,2,1,6,1,1,3
645520,1,2,17,1,1,2,1,12,66,48,36,7,5,40,0,0
79501,4,0,0,0,0,4,0,1,38,21,6,5,2,0,2,0
100996442,73,29,24,31,60,29,40,46,41,71,24,51,62,88,40,35
729737,2286,4253,4249,3541,11657,9527,15327,4193,2000,14657,2607,8563,11472,13593,6464,4626
102725121,102,35,86,15,39,22,22,50,104,104,30,64,74,39,22,35
102723897,6173,2537,4962,2808,3988,2183,2334,3793,1512,3593,2081,3754,3404,6205,2482,2534
102465909,100,38,46,26,46,35,19,44,15,27,9,31,33,60,31,36
107985721,0,1,1,1,3,0,0,1,4,2,1,3,0,0,1,0
112268260,5,5,7,5,1,4,11,6,9,2,2,4,9,14,18,9
729759,66,35,51,9,16,23,32,172,57,63,6,54,66,183,2,66
100132287,4470,3326,8659,7814,5473,4016,5443,4289,1437,4847,1243,3129,6210,8242,2361,2539
105378947,0,1,4,2,0,0,0,1,14,3,1,1,0,2,0,1
101928626,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
113219467,191,60,132,31,78,112,51,94,69,17,31,83,46,44,60,74
81399,172,81,80,24,62,58,76,245,163,115,26,97,150,323,27,148
100133331,8746,3079,7552,7233,6795,3777,5302,5521,1368,3551,1248,3457,5848,9185,1428,3305
107984841,1901,511,1962,1031,2075,1274,1340,698,193,522,138,558,861,1393,230,1013
107984847,2621,729,3108,2352,3655,2271,3249,1440,316,1120,280,848,1345,2537,407,1774
107984849,561,256,639,493,483,298,478,258,103,264,57,353,326,473,203,199
100288069,172,46,122,63,82,34,111,71,25,26,22,71,87,109,69,62
105378580,46,21,38,18,35,27,17,31,30,46,32,32,70,40,26,49
